track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,chart_date,duration_ms,popularity,release_date,weeks,artist_popularity,artist_followers,number_of_artists,lsit_of_artists
Necta (Butterfly),Sashamon,spotify:track:2ZUjks7eu5jmj2qnWLm8qm,0.887,0.528,7,-7.59,1,0.0862,0.107,0.00158,0.0613,0.729,144.118,305987,4,32.50794,11,0,,305986,46,2009-03-25,0,45,24946,1,['3EogSxYXgnES1hVk0nxB8X']
Like This,Mims,spotify:track:2Z2JnZNB7lbUdKR5GynUlV,0.771,0.693,7,-7.483,1,0.293,0.0317,0,0.342,0.525,97.163,203627,4,71.22774,7,1,,203626,49,2007-01-01,0,52,94627,1,['76RrKpsvOmSKG8CIjROdSG']
Twang,George Strait,spotify:track:10Jl8nC5i4idX63nUk3mRj,0.561,0.956,9,-3.331,1,0.0799,0.279,6.83e-06,0.0801,0.78,158.621,175600,4,38.58419,10,1,,175600,34,2009-01-01,0,76,2204562,1,['5vngPClqofybhPERIqQMYd']
Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees,spotify:track:1RS3LStQYhju50eBdD9Uul,0.472,0.532,10,-5.882,1,0.0319,0.586,0,0.106,0.152,129.777,257360,4,43.336,11,1,,257360,61,1999-10-29,0,83,7398224,3,"['4iHNK0tOyZPYnBU7nGAgpQ', '3zTOe1BtyTkwNvYZOxXktX', '6V03b3Y36lolYP2orXn8mV']"
DJ Play A Love Song,Jamie Foxx Featuring Twista,spotify:track:2F1H1Tm2qJmeiFcUi7vZiL,0.793,0.618,2,-8.664,1,0.108,0.109,0,0.331,0.31,119.984,258800,4,33.7315,12,1,,258800,46,2005-12-20,0,71,1365899,2,"['7LnaAXbDVIL75IVPnndf7w', '6vbY3hOaCAhC7VjucswgdS']"
Shadow,Ashlee Simpson,spotify:track:1xus3kv8tqlzeOxVZzDd0f,0.462,0.738,0,-3.852,1,0.0282,0.0355,7.4e-06,0.101,0.303,77.966,237427,4,43.28616,10,1,,237426,33,2004-01-01,0,53,623441,1,['4hqDqHtBlgxXpLXVYf7c8L']
Atravessar,Jazz Juice,spotify:track:1fhgkwVBCCABBWhqBf0YIJ,0.719,0.85,3,-8.255,0,0.0416,0.0134,0.743,0.0922,0.687,120.02,377746,4,34.14187,19,0,,377745,21,2006-11-13,0,28,3125,1,['5xlK36TR6Mu1nnwM2sFb6p']
Ancient War,Crypt Of Kerberos,spotify:track:1Fd0dlHs21hRbfZtBiGIK1,0.171,0.948,3,-8.171,0,0.123,1.12e-05,0.92,0.341,0.0393,81.483,209333,4,45.91581,9,0,,209333,7,2009-02-27,0,2,271,1,['59mPHJLRVnecCSKhEa3lcc']
Just A Dream,Carrie Underwood,spotify:track:7g8OpS827dAYU067lZaR0L,0.526,0.781,7,-3.673,1,0.0369,0.0613,0,0.121,0.358,142.06,284707,4,44.42779,13,1,,284706,54,2007-10-23,0,75,4210919,1,['4xFUf1FHVy696Q1JQZMTRj']
The Pretender,Foo Fighters,spotify:track:7x8dCjCr0x6x2lXKujYD34,0.433,0.959,9,-4.04,1,0.0431,0.000917,0,0.028,0.365,172.984,269373,4,75.70684,9,1,,269373,76,2007-09-25,0,81,8065960,1,['7jy3rLJdDQY21OgRLCZ9sD']
I'm A King,P$C Featuring T.I. & Lil Scrappy,spotify:track:5h21AlYy4mgHfQp9jUAUGi,0.73,0.483,0,-8.959,1,0.327,0.0428,0,0.103,0.535,168.049,212800,4,24.33991,10,1,,212800,45,2005-08-23,0,43,66757,1,['0ImT3U0pR1u2icS8XjEmJn']
Nocturnal,The Black Dahlia Murder,spotify:track:0b01eiSseb2nvVa9izc2rJ,0.302,0.984,1,-3.142,1,0.125,0.000101,2.91e-06,0.701,0.165,100.723,192933,3,35.96933,10,0,,192933,38,2007,0,55,218592,1,['4xTDPgk4jHCF0qui3dH6BS']
Somewhere I Belong,Linkin Park,spotify:track:3agtg0x11wPvLIWkYR39nZ,0.451,0.951,1,-3.754,1,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,213933,4,24.16702,10,1,,213933,63,2003-03-24,0,88,17072278,1,['6XyY86QOPPrYVGvF9ch6wz']
I Will...But,SHeDAISY,spotify:track:0oP29136UYddJ9DnGpKKQg,0.675,0.837,2,-5.105,1,0.0354,0.103,0,0.123,0.888,112.53,219973,4,48.86585,9,1,,219973,35,1999-01-01,0,42,227993,1,['2qFe0FyUMK8XXoyOsfYJr2']
Shake Your Bon-Bon,Ricky Martin,spotify:track:1yKDl9K9lrbIFSpPBzEQtb,0.638,0.937,0,-4.642,1,0.0444,0.0942,0,0.327,0.762,100.03,192333,4,22.51275,9,1,,192333,48,1999,0,79,5583693,1,['7slfeZO9LsJbWgpkIoXBUJ']
Your Man,Josh Turner,spotify:track:1WzAeadSKJhqykZFbJNmQv,0.744,0.637,6,-4.483,1,0.0241,0.337,0.000222,0.0696,0.785,100.511,211893,4,20.28123,12,1,,211893,71,2006,0,69,1873826,1,['7vCtweS8UVAXTyau2j0rDT']
He Can't Love U,Jagged Edge,spotify:track:3VEZvzr84WVnoorZ4tlBSw,0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279,244053,4,18.75298,11,1,,244053,59,2000-01-18,0,68,1330385,1,['7Aq8lpLMSt1Zxu56pe9bmp']
in vain,Georg Friedrich Haas,spotify:track:6vSXnHFYBwhkriLVx4Dhn4,0.157,0.0941,0,-21.943,1,0.0394,0.905,0.75,0.332,0.0246,133.114,3791480,4,37.33634,159,0,,3791480,0,2003-01-01,0,30,3775,3,"['5aP6nb57FU4o9GkvL5dgLa', '46bIDJnKANGCISmg6PWuz5', '5hMNvdR2oWHxWtlmm8aSPo']"
Ammunition,Synapscape,spotify:track:48UiA9vsN4blMIQ0Lx2Blv,0.165,0.582,5,-9.576,0,0.0807,0.00461,0.165,0.255,0.0754,84.279,267013,4,36.3213,10,0,,267013,0,2001-06-07,0,12,2033,1,['2nRBvPfp31TNHx6Q5PkRaQ']
Where The Party At,Jagged Edge With Nelly,spotify:track:5mNV8Mz59bzyuQ53gTw0c0,0.596,0.661,5,-6.239,0,0.226,0.31,0,0.0847,0.86,129.491,232573,5,62.61618,12,1,,232573,66,2001-07-03,0,79,2956425,2,"['7Aq8lpLMSt1Zxu56pe9bmp', '2gBjLmx6zQnFGQJCAQpRgw']"
The Little Girl,John Michael Montgomery,spotify:track:572R9OVMyWKBeg1hOMgSsW,0.658,0.434,1,-8.527,1,0.025,0.354,1.75e-05,0.112,0.218,83.921,232640,4,62.05212,10,1,,232640,51,2000-09-26,0,65,888721,3,"['7mPcfx7PhnBh6n4HMCd61A', '5J6L7N6B4nI1M5cwa29mQG', '1eNxt1JI2Bgjl8bPDQ5sG8']"
P.I.M.P.,50 Cent,spotify:track:2D1hlMwWWXpkc3CZJ5U351,0.7,0.758,10,-3.012,0,0.342,0.0444,1.3e-05,0.0401,0.889,78.693,249467,4,24.60842,11,1,,249466,66,2003-02-06,0,87,6431429,1,['3q7HBObVc0L8jNeTe5Gofh']
Streetcorner Symphony,Rob Thomas,spotify:track:20117nklRrpujknMRpueYQ,0.633,0.886,1,-3.892,1,0.0456,0.109,0,0.0438,0.753,81.811,247827,4,66.38407,9,1,,247826,50,2005-04-05,0,67,598657,1,['3aBkeBhwadnWMWoVJ2CxJC']
Everybody Wants To Go To Heaven,Kenny Chesney With The Wailers,spotify:track:3u0iJcNE8fHupAO2OOqGlC,0.705,0.693,11,-7.153,1,0.155,0.374,1.21e-05,0.65,0.555,137.741,252987,4,23.85697,8,1,,252986,46,2008-10-14,0,77,3529885,2,"['3grHWM9bx2E9vwJCdlRv9O', '6uSKeCyQEhvPC2NODgiqFE']"
"December, 1963 (Oh, What a Night) - 2006 Remaster",Frankie Valli & The Four Seasons,spotify:track:1lXZFi0khsqj7cJMamc9Op,0.728,0.592,1,-9.518,1,0.0251,0.0569,3.23e-06,0.0409,0.965,104.407,200427,4,55.56276,9,0,,200426,22,2006-09-12,0,68,398095,1,['6mcrZQmgzFGRWf7C0SObou']
The Quidditch World Cup,Patrick Doyle,spotify:track:668l1jLhA5t4nYsSIvdPf1,0.389,0.539,8,-14.537,1,0.0563,0.132,0.684,0.377,0.355,129.877,111693,4,87.25926,4,0,,111693,51,2005-11-09,0,63,61554,1,['1W42coQfIlt6btgqpfJWYQ']
When Love Takes Over,David Guetta Featuring Kelly Rowland,spotify:track:77FULy278MulVvGWS8BfK7,0.674,0.862,11,-4.614,1,0.0253,0.0157,0.000427,0.169,0.5,129.965,191000,4,22.89914,8,1,,191000,52,2009-08-21,0,89,21634434,1,['1Cs0zKBU1kc0i8ypK3B9ai']
Serpents in Paradise,Avantasia,spotify:track:6EABa3lfsdxgNuyPdVkOpA,0.473,0.968,11,-4.498,1,0.0674,3.24e-05,4.16e-06,0.119,0.319,91.14,376760,4,35.77998,16,0,,376760,34,2001-01-22,0,57,298478,1,['1Ih0fEQQsy9EeAJbYEeQRa']
In Noctem,Nicholas Hooper,spotify:track:2FnHMItLWhhPIxXeRC1lCe,0.283,0.0575,0,-29.881,0,0.0442,0.982,0.952,0.115,0.0362,63.853,120773,3,19.33937,5,0,,120773,51,2009-07-14,0,63,33474,1,['6S9bLkEZSVIcY18RNcNG50']
"So Far, So Good... So What",CIV,spotify:track:4q7q3gmlXa2cJ35roZXROY,0.512,0.93,7,-4.65,1,0.0664,0.00126,0.234,0.275,0.75,156.488,131680,4,39.89194,7,0,,131680,23,2009-05-19,0,30,12028,1,['1PyldAvwu9cUk9wn2wBWh9']
Universal Mind Control,Common Featuring Pharrell,spotify:track:0GPVmKBQiwIp0RONkkbeDO,0.868,0.92,4,-4.17,0,0.055,0.39,0.00682,0.155,0.694,119.994,213613,4,51.04631,11,1,,213613,34,2008-01-01,0,68,660089,1,['2GHclqNVjqGuiE5mA7BEoc']
Dope House Intro,South Park Mexican,spotify:track:5AmtStkLbSlQVj19hrByja,0.642,0.705,11,-6.976,0,0.195,8.82e-05,0.000144,0.0886,0.201,157.08,99333,4,42.82105,4,0,,99333,21,2000-08-15,0,66,525819,1,['4kKaAWGdu6WW0W415RWaQA']
Cleaning This Gun (Come On In Boy),Rodney Atkins,spotify:track:292hQrFkBjVmbHRqGVqBta,0.514,0.798,2,-3.669,1,0.0494,0.0612,0,0.104,0.677,145.995,226813,4,36.97279,12,1,,226813,57,2006-07-18,0,68,1333103,1,['2qgvmDsc4jrqbAbjq1HGM2']
"Look On The Bright Side Of Life (All Things Dull And Ugly) - From ""Life Of Brian"" Original Motion Picture Soundtrack",Monty Python,spotify:track:4yEoBe0b9paEGQrUIGxBCb,0.691,0.528,7,-9.333,1,0.194,0.624,0.00226,0.127,0.693,120.776,238293,4,42.37658,9,0,,238293,41,2006,0,50,94569,1,['5IxfhXIHjAOAqibxl90NZO']
Can't Get You Out Of My Head,Kylie Minogue,spotify:track:4YE1DTZEXsYoYzW7H5WLu3,0.645,0.578,10,-7.606,1,0.0459,0.292,5.49e-06,0.0744,0.459,137.013,214627,4,43.35851,6,1,,214626,0,2019-12-27,0,74,1122510,1,['4RVnAU35WRWra6OZ3CbbMA']
Bűnöm A Rock,Kalapács,spotify:track:1UojLKRWTN0ieuToUb1Isd,0.516,0.986,9,-4.413,1,0.12,0.000696,0.00758,0.185,0.436,115.022,251653,4,17.1464,11,0,,251653,27,2003-10-09,0,29,7969,1,['6RdDzFhiw4epgYFekWNSlg']
Show Me What I'm Looking For,Carolina Liar,spotify:track:2h8iXIwEdEnQywhFC4q5e5,0.449,0.864,9,-1.159,0,0.0378,0.0133,1.31e-06,0.0984,0.355,105.121,240467,4,31.86774,9,1,,240466,60,2008-05-03,0,50,58051,1,['0OuSnRyi1OkLPkR4AqzJwi']
The Serpent's Nemeton,Opera IX,spotify:track:129OlRQyvmeze6UpXAQI1e,0.0597,0.872,0,-4.693,1,0.0679,4.19e-06,0.798,0.336,0.151,65.172,402907,4,26.85053,26,0,,402906,1,2009-01-01,0,20,12488,1,['5zFNP1k5nKr89tzOA1NsZO']
Journey Through The Valley Of O,Relatively Clean Rivers,spotify:track:6l0QVHyjw1eECrnzit6cD5,0.519,0.721,11,-6.372,1,0.0675,0.151,0.884,0.0494,0.378,153.233,253493,4,35.8456,8,0,,253493,0,2008,0,0,3574,1,['03so3ysarnsJ1Q5hCJJCxF']
Umbrella,Rihanna Featuring Jay-Z,spotify:track:49FYlytm3dAAraYgpoJZux,0.583,0.829,1,-4.603,1,0.134,0.00864,0,0.0426,0.575,174.028,275987,4,31.41976,15,1,,275986,80,2008-06-02,0,92,45348024,2,"['5pKCCKE2ajJHZ9KAiaK11H', '3nFkdlSjzX9mRTtwJOzDYB']"
Glorious & Divine,Revolution Renaissance,spotify:track:7hRJ4O1nJWUvrnzqctFP3p,0.487,0.963,1,-5.204,1,0.0452,0.000458,0.0319,0.251,0.505,123.033,283013,4,39.86386,12,0,,283013,17,2008-01-01,0,33,13817,1,['1Af5l48w4VsXiCmhkDTDhv']
Mockingbird,Eminem,spotify:track:561jH07mF1jHuk7KlaeF0s,0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,250760,4,23.25917,13,1,,250760,75,2004-11-12,0,94,38920744,1,['7dGJo4pcD2V6oG8kP0tJRR']
A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,spotify:track:5pinOKTQyPCPpgjIOKVFY3,0.669,0.592,7,-4.628,1,0.0317,0.166,0,0.114,0.51,75.938,237667,4,23.61273,11,1,,237666,29,2000,0,70,1593304,3,"['24VF2kZrBFn1WvJ5oF1SRf', '2OpqcUtj10HHvGG6h9VYC5', '2dyeCWctcFRt3Pha76ONgb']"
Blood Red Sentimental Blues,Cotton Jones,spotify:track:6m2OUSC736AxOVJ3W0FcEr,0.566,0.716,10,-6.254,1,0.0253,0.218,3.3e-06,0.185,0.679,92.982,276333,4,24.10008,9,0,,276333,55,2009-01-27,0,54,56293,1,['6RHDASo3OVNiNY2nrGx3qc']
When I See U,Fantasia,spotify:track:4iuNZTcvT9diFySSzVsnVS,0.569,0.596,8,-6.486,1,0.171,0.457,8.99e-05,0.205,0.757,93.134,217347,4,24.00668,12,1,,217346,70,2006-12-09,0,62,1258352,1,['7xAcVHPiirnUqfdqo0USb1']
Ska-Boom!,The Fad,spotify:track:3AIPPSb1RDk96adVLHyXp6,0.478,0.973,0,-4.952,1,0.0485,1.84e-05,6.11e-06,0.398,0.865,169.963,151173,4,35.72352,9,0,,151173,18,2008-01-01,0,15,1249,1,['69xyIinYNu2Wefft1Tzbj5']
We'rewolf,Every Time I Die,spotify:track:5Bfy6Wfj4G1GBYWlMfQ1by,0.26,0.974,2,-4.5,1,0.144,2.95e-05,0,0.331,0.427,95.123,204720,4,105.47122,7,0,,204720,42,2007-09-04,0,53,162727,1,['0o7WWONtleH6PWLn5GIoCM']
Lollipop,Lil Wayne Featuring Static Major,spotify:track:4P7VFiaZb3xrXoqGwZXC3J,0.829,0.428,0,-9.469,1,0.083,0.055,0.00423,0.137,0.448,148.077,299333,4,54.38274,12,1,,299333,69,2008-06-10,0,92,9696790,2,"['55Aa2cqylxrFIXC767Z865', '3pbi8H08p95NUZ7m6ybxUV']"
Electricity (as made famous by OMD),Apoptygma Berzerk,spotify:track:1k6CD7AKuLf1RE3Wv5Xwfj,0.567,0.98,0,-7.029,1,0.0315,0.0224,0.614,0.292,0.67,144.847,301880,4,28.0421,14,0,,301880,0,2009-06-01,0,48,54591,1,['3OHbToMuJihWhRcqzKjpBd']
Metal Heart,Cat Power,spotify:track:4i9FUNliymlNGvGsvTZU44,0.449,0.418,4,-8.935,0,0.0294,0.791,0.000767,0.122,0.232,119.273,234920,4,50.2888,8,0,,234920,27,2008-01-21,0,63,567455,1,['6G7OerKc3eBO9sVkRNopFC']
"Elegies (1997) for Mezzo-Soprano, Baritone and Orchestra: V. In paradisum",Richard Danielpour,spotify:track:7JUoPPBicWtmQGUXhub4ID,0.153,0.0458,10,-25.959,1,0.0416,0.951,0.0233,0.0743,0.0329,90.586,393800,4,66.71642,16,0,,393800,0,2001-01-01,0,70,246616,5,"['1X2h9tAUKWnt3RlUDHzfaA', '5LUjwmTidlIffhKkvXZo8k', '6pxEWWaFpWFJGEZK6dOzsF', '37WFbkX34V6orR3DSrdtDN', '3PfJE6ebCbCHeuqO4BfNeA']"
We Weren't Crazy,Josh Gracin,spotify:track:1P0QYbg9KhGtv2OvvYgAWq,0.418,0.84,0,-2.622,1,0.041,0.21,1.38e-06,0.162,0.659,164.02,227307,4,20.60583,10,1,,227306,32,2008-04-01,0,50,175175,1,['1456WwI15Lm9CktCzkLZvm']
Waste of Love,Ashbury Heights,spotify:track:0pG8glVKTVnS7dfxmMmpN7,0.555,0.755,5,-10.775,0,0.0624,2.29e-05,0.0793,0.214,0.61,110.023,324280,4,45.1672,16,0,,324280,36,2007-10-05,0,44,23854,1,['3rclGaNhwMNMcU2GkN91j9']
Be Like That,3 Doors Down,spotify:track:30lK6CcrHYtmw7wLd3h41t,0.484,0.671,7,-6.696,1,0.0247,0.00546,2.16e-05,0.115,0.288,96.118,236293,4,74.05869,8,1,,236293,5,2019-12-27,0,74,2926341,1,['2RTUTCvo6onsAnheUk3aL9']
I Love You,Faith Evans,spotify:track:6gsmFgUiSTuinJlScwFODv,0.489,0.757,11,-4.062,0,0.0926,0.00981,0,0.234,0.567,168.004,267160,4,29.03989,13,1,,267160,53,2001,0,69,908784,1,['5NDMothbpdpq2xHqSjrrWn']
Polka Dots And Moonbeams - Rudy Van Gelder/24 Bit Mastering/1998 Digital Remaster,Bud Powell,spotify:track:7pKWTcPfT9mg2iAhobFHpS,0.552,0.171,2,-13.66,0,0.0544,0.955,0.877,0.122,0.152,102.4,244467,4,53.96447,11,0,,244466,46,2001-01-01,0,46,69546,1,['570vCzcespB48HIQyTbDO6']
Hit That,The Offspring,spotify:track:3lfmqF0ULXRHlWxBeaHo3t,0.704,0.809,4,-3.045,1,0.0321,0.0233,0,0.0596,0.962,131.952,169413,4,19.16367,9,1,,169413,60,2003-12-09,0,79,3813451,1,['5LfGQac0EIXyAN8aUwmNAQ']
Fighter,Christina Aguilera,spotify:track:7nXq1vaZiz7PdbfojpPjW5,0.435,0.92,4,-1.357,0,0.201,0.235,0.000353,0.552,0.45,188.899,245960,4,38.90238,12,1,,245960,68,2002-07-19,0,82,5544110,1,['1l7ZsJRRS8wlW3WfJfPfNS']
I Can't Sleep,Clay Walker,spotify:track:4wGKVFDAFaIkdmKqgKERuK,0.614,0.619,2,-5.345,1,0.0229,0.012,0,0.152,0.278,81.043,247387,4,42.46622,12,1,,247386,31,2014-02-11,0,61,733575,1,['4MPkNgar5uTd8Sqvrr7par']
Savior,Rise Against,spotify:track:3asFGFY3uLjMDmML1p0tYm,0.339,0.931,5,-3.425,0,0.062,0.0015,0.000142,0.425,0.467,112.548,242280,4,40.73236,10,0,,242280,70,2008-01-01,0,76,2223119,1,['6Wr3hh341P84m3EI8qdn9O']
Keelhauled,Alestorm,spotify:track:6pKA3P1JERZutikZtZpoUo,0.476,0.967,10,-3.255,0,0.16,0.000767,0,0.297,0.575,110.057,222253,4,25.78389,9,0,,222253,45,2009-06-02,0,64,420647,1,['3OpqU68JpZlzvjAJj3B2Da']
My Life,The Game Featuring Lil Wayne,spotify:track:4GXH9A6fzuE0MNtqtzjhLg,0.673,0.766,11,-5.018,1,0.349,0.0724,0,0.0563,0.382,148.113,320893,4,28.68812,12,1,,320893,61,2008-01-01,0,92,12513451,2,"['0NbfKEOTQCcwd6o7wSDOHI', '55Aa2cqylxrFIXC767Z865']"
"4 Cornish Dances, Op. 91: Four Cornish Dances, Op. 91: No. 2. Andantino",Malcolm Arnold,spotify:track:4nyb2Lm5jYBnenw8KVUZzr,0.105,0.0315,2,-36.662,1,0.0414,0.952,0.808,0.076,0.0349,158.256,189067,1,110.48467,7,0,,189066,0,2002-05-14,0,40,3516,3,"['5kM4H3hu2dxxk9erCAZA2e', '0sd6SprQ4G6y5wAaQVMRpB', '4hwKl6LaXGgwDGJIx9k1r6']"
Fallen,Sarah McLachlan,spotify:track:0vruudBLCE0inwsooo7V65,0.503,0.492,2,-7.607,0,0.0357,0.61,2.4e-05,0.0853,0.352,74.967,227000,4,40.04613,8,1,,227000,43,2003,0,68,579020,1,['4NgNsOXSwIzXlUIJcpnNUp']
Love Like Winter,AFI,spotify:track:3cDE9Yn4GrsxSrlMCLdmTT,0.592,0.914,10,-4.753,0,0.0468,0.000259,0.000139,0.0452,0.524,120.031,165653,4,21.11438,7,1,,165653,49,2006-06-06,0,66,642723,1,['19I4tYiChJoxEO5EuviXpz']
Let's Get Dirty (I Can't Get In Da Club),Redman Featuring DJ Kool,spotify:track:5BlLqiaTwttKiqzLhBrN1v,0.539,0.966,1,-5.02,1,0.433,0.0542,0,0.466,0.432,99.142,235533,4,35.7428,12,1,,235533,40,2001-01-01,0,69,729751,2,"['7xTKLpo7UCzXSnlH7fOIoM', '1SWGyp2nxNSyQkRX1eqoUp']"
Celebrity,Brad Paisley,spotify:track:5xr4NKzmwqr0cvRMZr7cFz,0.643,0.837,0,-4.535,1,0.0316,0.379,8.76e-06,0.18,0.787,123.777,223400,4,17.72421,13,1,,223400,44,2010-11-02,0,71,1885752,1,['13YmWQJFwgZrd4bf5IjMY4']
Do You Run Away Now - Techno Kingdom Mix,Cappella,spotify:track:36ezp3NMfqQGFcuYJYGEzT,0.716,0.736,9,-11.715,1,0.0319,0.00731,0.0167,0.0594,0.617,144.993,469147,4,30.05515,26,0,,469146,1,2009-11-01,0,48,36918,1,['0NPwkUJRrRiWYdHpLXBkxg']
Every Other Time,LFO,spotify:track:3uD4aRM8QoEAAhwpOke7QU,0.689,0.922,11,-4.56,1,0.0372,0.0143,0,0.335,0.72,103.975,247867,4,17.72377,13,1,,247866,41,2001-06-26,0,49,28260,1,['1FizW0swe8ODtXvEOHXbHX']
Why They Call It Falling,Lee Ann Womack,spotify:track:5rJRKtJzm7qacwYEjsKav6,0.562,0.292,4,-10.377,1,0.0284,0.46,0,0.0926,0.235,128.701,215293,4,46.63182,8,1,,215293,25,2000-01-01,0,57,460162,1,['738OS3zrCO782uDiUN9pet']
Soultrain,Scooter,spotify:track:4zyNWOdTmi95SNl2comaql,0.522,0.918,3,-6.773,0,0.0402,0.00272,0.821,0.065,0.247,141.995,308333,4,50.70028,13,0,,308333,14,2003-03-31,0,72,485953,1,['0HlxL5hisLf59ETEPM3cUA']
Lost One,Jay-Z Featuring Chrisette Michele,spotify:track:206QiQ5OnKTZE3cnuMYu3H,0.806,0.686,8,-2.754,0,0.156,0.254,0,0.0613,0.63,84.011,224227,4,54.35844,9,1,,224226,43,2006-11-21,0,87,6087423,2,"['3nFkdlSjzX9mRTtwJOzDYB', '3YJMzGjAm245zwJooY7PEj']"
My Girl Hates My Heroin,The Stooges,spotify:track:6Od3VagypWdUBrDnLMx8d0,0.168,0.596,9,-13.892,1,0.0469,0.582,0.11,0.594,0.493,145.902,253507,4,27.11679,9,0,,253506,16,2007-04-02,0,58,408087,1,['4BFMTELQyWJU1SwqcXMBm3']
Summer Love,Justin Timberlake,spotify:track:1MBM7CyZbwJpVbbZJnHHRg,0.606,0.591,0,-7.228,0,0.087,0.0756,0,0.328,0.477,95.802,252973,4,58.37948,11,1,,252973,63,2006-09-12,0,84,9822515,1,['31TPClRtHm23RisEBtV3X7']
What A Beautiful Day,Chris Cagle,spotify:track:2I4wcoJP7bT7PceIag67rn,0.576,0.814,6,-5.818,1,0.0363,0.216,1.35e-06,0.0969,0.766,98.024,224787,4,77.63869,5,1,,224786,45,2003-01-01,0,57,634770,1,['1zhIzONVRlTfD1VQRauHMl']
The Book of Heavy Metal (March of the Metallians),Dream Evil,spotify:track:07Vk1JPd5MgBJxdrMpnLNh,0.386,0.944,0,-4.334,1,0.0941,6.79e-05,0.0153,0.338,0.374,154.175,325800,4,28.60038,15,0,,325800,51,2004-07-13,0,51,104358,1,['1bkf8u8ot6vEpWTJFBzKZB']
Starry Eyed Surprise,Oakenfold Featuring Shifty Shellshock,spotify:track:6A4Kuy7JL0Znab3Skgloiv,0.721,0.794,4,-6.134,1,0.132,0.0195,0.00013,0.283,0.562,103.211,228493,4,42.45346,9,1,,228493,51,2002,0,62,460789,3,"['5MO2kbaGGA2a8kL4c9qqHq', '0uw3mzuWJ55YOdKZNi7YJO', '4iSKnRZAxkmqNok6tv10Se']"
Let Me Love You,Mario,spotify:track:3ibKnFDaa3GhpPGlOUj7ff,0.656,0.578,7,-8.97,0,0.0922,0.235,0,0.118,0.556,94.514,256733,4,34.93115,9,1,,256733,75,2004-09-21,0,71,2006745,1,['20s0P9QLxGqKuCsGwFsp7w']
Customer,Raheem DeVaughn,spotify:track:7vPtkrQdS0ZV0zX7qKHahN,0.635,0.518,1,-7.131,1,0.0439,0.463,0,0.169,0.513,124.044,245067,4,25.7596,12,1,,245066,37,2008-08-11,0,72,2513522,2,"['59NO6KX7wQCG7jGdtH1NtL', '2mxe0TnaNL039ysAj51xPQ']"
Keg In The Closet,Kenny Chesney,spotify:track:3ggmtswnS5czhEAGDsm6D8,0.654,0.901,1,-6.401,1,0.0477,0.00446,4.68e-06,0.057,0.73,138.879,212427,4,31.52885,11,1,,212426,44,2004-02-02,0,77,3186815,1,['3grHWM9bx2E9vwJCdlRv9O']
Put A Girl In It,Brooks & Dunn,spotify:track:2whdkf4NsAloiUJ9ISRVDM,0.589,0.953,4,-3.317,1,0.0619,0.0328,0.00102,0.062,0.772,119.967,207880,4,23.00748,10,1,,207880,40,2007-10-02,0,75,1629302,1,['0XKOBt59crntr7HQXXO8Yz']
Find Out Who Your Friends Are,Tracy Lawrence,spotify:track:73njvNJmgXA180vTPkA16C,0.524,0.797,2,-4.777,1,0.0329,0.209,0,0.286,0.783,159.859,227840,4,40.24797,11,1,,227840,59,2007-01-30,0,77,7155954,4,"['2BQVRw9md4UKcGUrDXABCD', '6roFdX1y5BYSbp60OTJWMd', '3grHWM9bx2E9vwJCdlRv9O', '1NSuMBUj4oAk0F1IfJ6zU4']"
Hot N Cold,Katy Perry,spotify:track:1y4eb6hmAvsqlDOl3fx9kk,0.706,0.841,7,-3.956,1,0.0418,7.95e-05,0,0.0688,0.861,132.032,220227,4,125.52983,5,1,,220226,66,2008-06-17,0,88,16544392,1,['6jJ0s89eD6GaHleKKya26X']
Love Rhymes With Hideous Car Wreck,The Blood Brothers,spotify:track:4ZDgRXaafbD7MTx1iep94S,0.536,0.7,5,-6.583,0,0.0522,0.00575,0.0368,0.2,0.611,135.192,194587,4,25.29259,11,0,,194586,36,2004,0,37,43000,1,['2nNyMDW51EHYbBXu3lFbLR']
Hold On,Jonas Brothers,spotify:track:7qaicljodAhcFLwo1iOV69,0.472,0.892,11,-3.52,1,0.135,0.00532,0,0.406,0.813,149.157,164973,4,68.40105,5,1,,164973,33,2019-12-20,0,82,4635237,1,['7gOdHgIoIKoe4i9Tta6qdD']
Only Time,Enya,spotify:track:6FLwmdmW77N1Pxb1aWsZmO,0.418,0.249,3,-13.744,1,0.0301,0.841,0.661,0.112,0.213,82.803,218547,4,33.61878,9,1,,218546,71,2000-11-11,0,76,1389947,1,['6uothxMWeLWIhsGeF7cyo4']
You Are God - House Of Worship Album Version,Twila Paris,spotify:track:6hIvdA5X0grCFU7Z9sCRG6,0.412,0.446,0,-7.343,0,0.0286,0.274,3.87e-06,0.101,0.167,134.557,240590,3,15.21312,12,0,,240589,12,2003-01-01,0,45,41104,1,['7ua35iM0VjwfuHopuQDScm']
